Country Code,Country Name,Series Code,Series Name,Value,Year
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),475.7448098,2000
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),488.1642876,2001
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),519.0544384,2002
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),583.0621459,2003
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),640.7259869,2004
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),679.7253692,2005
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),720.6031232,2006
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),788.8723869,2007
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),854.0389932,2008
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),863.466328,2009
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),900.1769017,2010
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),974.1274671,2011
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),982.0741499,2012
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),992.234653,2013
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1014.944203,2014
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),973.1539973,2015
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),990.8286891,2016
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1027.118651,2017
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1066.64776,2018
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1084.163977,2019
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1158.07093,2020
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1245.909858,2021
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1235.603151,2022
WLD,World,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),..,2023
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",67.64972573,2000
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",67.94439843,2001
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",68.2305637,2002
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",68.51496107,2003
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",68.77025245,2004
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",69.11057582,2005
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",69.46811655,2006
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",69.80409787,2007
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",70.00347393,2008
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",70.37952511,2009
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",70.68184335,2010
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",70.96801349,2011
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",71.26375458,2012
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",71.53267021,2013
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",71.77554368,2014
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",71.96475451,2015
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",72.1848946,2016
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",72.36534478,2017
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",72.64361208,2018
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",72.86891031,2019
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",72.18222395,2020
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",71.21548417,2021
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",72.96901572,2022
WLD,World,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",73.32971628,2023
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),5496.486023,2000
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),5390.181691,2001
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),5525.02966,2002
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),6116.55508,2003
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),6804.78415,2004
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),7276.275612,2005
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),7786.763872,2006
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),8666.128891,2007
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),9403.728197,2008
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),8806.25101,2009
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),9530.010809,2010
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),10471.53643,2011
WLD,World,NY.GDP.PCAP.CD,GDP per capita (current US$),10570.75881,2012
