Country Code,Country Name,Series Code,Series Name,Value,Year
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),174.9309914,2000
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),138.7068217,2001
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),178.9540884,2002
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),198.8711157,2003
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),221.7636539,2004
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),254.1842491,2005
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),274.2185536,2006
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),376.223152,2007
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),381.733238,2008
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),452.0537055,2009
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),560.6215055,2010
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),606.6946763,2011
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),651.4171345,2012
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),637.0870991,2013
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),625.0549418,2014
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),565.5697304,2015
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),522.0822156,2016
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),525.4697709,2017
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),491.3372214,2018
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),496.6025043,2019
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),510.7870634,2020
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),356.4962141,2021
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),357.2611528,2022
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),413.7578947,2023
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",55.005,2000
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",55.511,2001
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",56.225,2002
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",57.171,2003
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",57.81,2004
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",58.247,2005
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",58.553,2006
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",58.956,2007
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",59.708,2008
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",60.248,2009
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",60.702,2010
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",61.25,2011
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",61.735,2012
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",62.188,2013
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",62.26,2014
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",62.27,2015
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",62.646,2016
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",62.406,2017
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",62.443,2018
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",62.941,2019
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",61.454,2020
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",60.417,2021
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",65.617,2022
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",66.035,2023
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",131.7,2000
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",127.4,2001
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",123.1,2002
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",118.7,2003
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",114.2,2004
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",109.7,2005
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",105.1,2006
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",100.7,2007
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",96.3,2008
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",92.2,2009
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",88.3,2010
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",84.6,2011
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",81.2,2012
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",78,2013
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",75.1,2014
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",72.4,2015
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",70,2016
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",67.6,2017
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",65.4,2018
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",63.3,2019
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",61.3,2020
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",59.3,2021
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",57.4,2022
AFG,Afghanistan,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",55.5,2023
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),..,2000
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),..,2001
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),16.70697403,2002
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),17.74602509,2003
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),21.42300415,2004
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),25.11388779,2005
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),28.9412632,2006
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),32.70893097,2007
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),39.88624954,2008
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),43.13351822,2009
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),46.42438889,2010
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),52.18721771,2011
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),52.45247269,2012
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),56.16043472,2013
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),60.04951096,2014
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),59.91960526,2015
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),61.37234497,2016
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),66.82388306,2017
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),71.22509003,2018
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),74.0642395,2019
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),80.0892334,2020
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),81.52112579,2021
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),80.6516037,2022
AFG,Afghanistan,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),..,2023
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2000
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2001
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2002
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2003
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2004
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2005
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2006
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2007
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2008
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2009
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2010
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2011
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2012
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2013
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2014
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2015
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2016
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2017
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2018
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2019
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2020
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2021
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2022
AFG,Afghanistan,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),..,2023
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),1160.420471,2000
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),1326.416524,2001
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),1479.838846,2002
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),1908.699007,2003
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),2446.909499,2004
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),2741.721365,2005
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),3057.77257,2006
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),3743.055299,2007
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),4498.504868,2008
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),4213.650076,2009
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),4149.144699,2010
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),4465.709143,2011
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),4222.347099,2012
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),4420.23462,2013
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),4602.230514,2014
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),3981.726623,2015
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),4168.375445,2016
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),4614.047969,2017
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),5365.488802,2018
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),5460.430509,2019
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),5370.7775,2020
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),6413.282808,2021
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),6846.426694,2022
ALB,Albania,NY.GDP.PCAP.CD,GDP per capita (current US$),8575.171346,2023
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",74.826,2000
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",75.083,2001
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",75.299,2002
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",75.557,2003
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",75.951,2004
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",76.427,2005
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",76.994,2006
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",77.691,2007
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",78.248,2008
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",78.509,2009
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",78.414,2010
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",78.303,2011
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",78.084,2012
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",77.995,2013
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",78.029,2014
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",78.358,2015
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",78.643,2016
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",78.9,2017
ALB,Albania,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",79.238,2018
